transcript,length,
NM_001282463,279,
NM_001282462,474,
NM_001349504,1545,
NM_001282464,252,
NM_001282467,660,
NM_001282466,663,
NM_001349508,1542,
NM_001282468,1899,
NM_001130086,1680,
NM_178429,333,
NM_001256689,1860,
NM_001353570,2400,
NM_001353571,2373,
NM_001353576,2289,
NM_001353577,2289,
NM_001353574,2316,
NM_001353575,2304,
NM_001256680,636,
NM_001256681,636,
NM_001353578,2262,
NM_001353579,1842,
NM_178425,3210,
NM_001256685,1833,
NM_178427,2325,
NM_001256687,1812,
NM_002797,792,
NM_001353688,4776,
NM_001353689,4776,
NM_014839,2292,
NM_014838,3516,
NM_002343,2133,
NM_001353680,303,
NM_014832,3897,
NM_001353682,2922,
NM_014830,2139,
NM_001353684,1875,
NM_014836,2091,
NM_001353686,4701,
NM_014834,5103,
NM_001005413,693,
NM_001243963,2247,
NM_001349661,2145,
NM_001005417,1119,
NM_001005416,531,
NM_001005415,741,
NM_001166271,3834,
NM_001166270,957,
NM_001009944,12912,
NM_001330449,1230,
NM_001330448,525,
NM_001009943,915,
NM_001330444,1593,
NM_001330447,5832,
NM_001330446,1053,
NM_001330441,2160,
NM_001330440,1452,
NM_001330443,1782,
NM_001330442,1785,
NM_001258358,582,
NM_001258359,582,
NM_001033930,387,
NM_001258351,657,
NM_001258353,2919,
NM_001258354,2889,
NM_001258355,1404,
NM_001258357,582,
NM_001350883,717,
NM_001350882,717,
NM_001350881,726,
NM_001162407,1581,
NM_001350887,414,
NM_001350886,414,
NM_001350885,414,
NM_001354505,2619,
NM_181674,1530,
NM_001354508,2559,
NM_001350888,2124,
NM_181675,1650,
NM_001040,1209,
NM_001041,5484,
NM_001042,1530,
NM_001043,1854,
NM_001044,1863,
NM_001045,1893,
NM_001046,3639,
NM_001047,780,
NM_001048,351,
NM_001049,1176,
NM_004038,1536,
NM_004039,1020,
NM_001321213,2406,
NM_001321210,231,
NM_001321211,2271,
NM_001321216,462,
NM_001321217,561,
NM_001321214,564,
NM_001321215,552,
NM_001321218,501,
NM_001321219,468,
NM_001173408,3078,
NM_006892,2562,
NM_006893,1755,
NM_006890,798,
NM_006891,525,
NM_006896,693,
NM_006897,783,
NM_006894,1599,
NM_006895,879,
NM_001253733,1806,
NM_006898,1299,
NM_006899,1158,
NM_001142560,834,
NM_001142565,1389,
NM_001142564,2280,
NM_001142569,1737,
NM_001142568,2826,
NM_004260,3627,
NM_001031854,1707,
NM_001031855,2280,
NM_001031850,1275,
NM_001031853,1740,
NM_001146028,1887,
NM_001146029,1959,
NM_001281469,891,
NM_007156,2400,
NM_001281460,1098,
NM_001281463,3636,
NM_001281467,984,
NM_198988,1506,
NM_198989,483,
NM_001304519,678,
NM_001304514,1584,
NM_033229,1398,
NM_001304510,756,
NM_001304511,756,
NM_001304512,468,
NM_001304513,336,
NM_194261,477,
NM_194260,477,
NM_006656,1386,
NM_001308243,531,
NM_001351862,2631,
NM_001308244,645,
NM_001351860,2424,
NM_001351861,2400,
NM_001308245,1035,
NM_007079,447,
NM_007078,2184,
NM_006652,270,
NM_007073,1083,
NM_007072,1245,
NM_001349828,2391,
NM_007077,480,
NM_007076,1377,
NM_007075,1086,
NM_007074,1386,
NM_001308248,2466,
NM_203468,1488,
NM_001167869,558,
NM_001167868,576,
NM_006658,468,
NM_001167865,1155,
NM_001282449,1581,
NM_001167867,792,
NM_006659,2709,
NM_001351240,534,
NM_002934,486,
NM_001243266,561,
NM_001257293,1350,
NM_001282442,372,
NM_001282441,969,
NM_001145641,2148,
NM_001145640,213,
NM_001145643,249,
NM_001145642,2784,
NM_001145645,801,
NM_001145646,651,
NM_001145649,1692,
NM_001145648,3774,
NM_001282444,1605,
NM_006308,453,
NM_006309,2166,
NM_001286159,1242,
NM_006302,2514,
NM_006303,963,
NM_006300,1425,
NM_006301,2580,
NM_006306,3702,
NM_006307,1395,
NM_033339,912,
NM_001353551,1752,
NM_001353553,1512,
NM_001346026,2166,
NM_001203247,2241,
NM_001346024,2271,
NM_001203245,498,
NM_001346022,2445,
NM_001346023,2442,
NM_001346021,2445,
NM_001346028,1365,
NM_001203249,2088,
NM_001304569,1278,
NM_152308,444,
NM_152309,2418,
NM_001320179,1581,
NM_152304,318,
NM_152305,1179,
NM_152307,870,
NM_001185076,1836,
NM_001185077,615,
NM_001185074,3780,
NM_001185075,1614,
NM_001185072,735,
NM_001185073,735,
NM_001185078,483,
NM_001350102,2427,
NM_001304563,582,
NM_001304562,618,
NM_001304564,1437,
NM_020988,1065,
NM_020989,525,
NM_001350104,1389,
NM_020980,888,
NM_020981,981,
NM_020982,654,
NM_001304566,711,
NM_020984,1893,
NM_020985,1893,
NM_020986,1893,
NM_020987,13134,
NM_017762,2334,
NM_017763,2352,
NM_021637,504,
NM_017761,420,
NM_021630,1809,
NM_001018046,1533,
NM_001301829,3837,
NM_001301828,330,
NM_001301823,1098,
NM_001301822,804,
NM_001301821,1401,
NM_001301820,2904,
NM_001301827,396,
NM_001301826,1089,
NM_001301825,1443,
NM_001301824,1098,
NM_001130137,2238,
NM_001130136,2238,
NM_000247,1152,
NM_001011663,1053,
NM_022872,405,
NM_001130138,2238,
NM_014711,2976,
NM_001207040,783,
NM_001207041,573,
NM_001207042,858,
NM_001163418,921,
NM_001207047,3471,
NM_001320934,1794,
NM_022161,843,
NM_022162,3123,
NM_001320937,957,
NM_001320930,330,
NM_022165,624,
NM_022166,2880,
NM_022167,2598,
NM_030912,1656,
NM_030913,2793,
NM_030911,1545,
NM_030916,1533,
NM_030917,1785,
NM_030914,306,
NM_030915,318,
NM_030918,1587,
NM_030919,1758,
NM_001322262,1188,
NM_001322263,534,
NM_001322260,1425,
NM_001322261,1086,
NM_001322266,840,
NM_001322267,840,
NM_001199144,9984,
NM_001317806,1425,
NM_001317807,747,
NM_001317804,1032,
NM_001317805,867,
NM_001317803,1110,
NM_001317800,777,
NM_001317801,258,
NM_001005751,4026,
NM_001317808,780,
NM_001317809,780,
NM_001329545,837,
NM_017619,1554,
NM_017617,7668,
NM_017614,1092,
NM_017615,1158,
NM_017612,2124,
NM_017613,1701,
NM_017610,2961,
NM_017611,1476,
NM_014715,5217,
NM_001317123,2349,
NM_033017,1503,
NM_182718,330,
NM_182719,366,
NM_182710,1641,
NM_182717,363,
NM_182715,726,
NM_003213,1305,
NM_003212,567,
NM_003211,1233,
NM_003217,714,
NM_003216,912,
NM_003215,1896,
NM_003214,1308,
NM_203329,387,
NM_003218,1260,
NM_014817,2436,
NM_001168325,564,
NM_001168324,702,
NM_001168323,822,
NM_001168322,924,
NM_001168320,720,
NM_001206804,1239,
NM_001206802,747,
NM_001206801,1014,
NM_022838,1677,
NM_022839,585,
NM_001135648,4341,
NM_001135649,1263,
NM_001199240,1071,
NM_001135647,1179,
NM_001135644,1212,
NM_022831,921,
NM_022836,1599,
NM_001135643,1404,
NM_022834,1338,
NM_022835,4161,
NM_001244949,2487,
NM_015962,597,
NM_020470,882,
NM_020473,753,
NM_020474,1680,
NM_020475,5571,
NM_020476,5646,
NM_020477,5160,
NM_020478,468,
NM_001300766,405,
NM_198793,918,
NM_198795,3570,
NM_198794,2541,
NM_198799,612,
NM_198798,2331,
NM_175878,1380,
NM_175875,2220,
NM_175874,738,
NM_175876,2178,
NM_175871,690,
NM_175873,1650,
NM_175872,1899,
NM_033018,1509,
NM_002162,1644,
NM_002163,1281,
NM_002160,6606,
NM_002161,3789,
NM_202494,711,
NM_002167,360,
NM_002164,1212,
NM_002165,468,
NM_001242674,1452,
NM_001242675,1452,
NM_001242676,1452,
NM_002169,570,
NM_001199860,1104,
NM_001242671,456,
NM_001199862,1248,
NM_001242673,1452,
NM_001303533,1536,
NM_203295,912,
NM_001303531,423,
NM_001303530,903,
NM_001322814,552,
NM_001136205,774,
NM_001136204,1569,
NM_001136203,672,
NM_001136202,408,
NM_001136201,618,
NM_001136200,321,
NM_001130698,2766,
NM_001130699,1317,
NM_001130692,1410,
NM_001130690,2370,
NM_001130691,1536,
NM_203290,1041,
NM_001257975,2865,
NM_001257976,2394,
NM_001257971,1002,
NM_001257970,2223,
NM_001257973,456,
NM_001145204,1275,
NM_001349342,1734,
NM_001349343,1731,
NM_001349340,2034,
NM_001349341,2031,
NM_212460,603,
NM_001349347,822,
NM_001349344,1731,
NM_001349345,543,
NM_001039380,369,
NM_001349348,672,
NM_001349349,477,
NM_212469,1320,
NM_001795,2355,
NM_001190892,765,
NM_007218,1995,
NM_001190898,765,
NM_001190899,765,
NM_032424,1038,
NM_032425,1827,
NM_032427,3471,
NM_001130964,2334,
NM_032421,3036,
NM_001130966,1605,
NM_032423,1887,
NM_001130968,918,
NM_001130969,1593,
NM_001347034,1203,
NM_032428,5433,
NM_001347033,1665,
NM_001347030,1170,
NM_001347031,1560,
NM_001346349,1443,
NM_001346348,1443,
NM_001346347,516,
NM_001346346,1443,
NM_001346345,603,
NM_001346344,1443,
NM_001346343,657,
NM_001346342,1443,
NM_001346341,789,
NM_001346340,1512,
NM_031886,1371,
NM_031885,2166,
NM_031883,2655,
NM_031882,2457,
NM_012414,4182,
NM_000240,1584,
NM_031889,3429,
NM_001171747,753,
NM_080881,1956,
NM_001145368,2607,
NM_001145369,2349,
NM_018138,1674,
NM_018139,2514,
NM_018136,10434,
NM_018137,1128,
NM_018134,1401,
NM_018135,591,
NM_018132,807,
NM_018133,1734,
NM_018130,1734,
NM_018131,1395,
NM_001039803,1041,
NM_001171741,489,
NM_001039802,576,
NM_001330460,1242,
NM_001039920,1386,
NM_001115116,1593,
NM_005309,1491,
NM_005308,1773,
NM_005303,903,
NM_005302,1842,
NM_005301,930,
NM_005300,1146,
NM_005307,1503,
NM_005306,993,
NM_001190274,2784,
NM_005304,1041,
NM_032280,816,
NM_032281,1083,
NM_032283,1167,
NM_032285,969,
NM_032286,408,
NM_032287,720,
NM_032288,957,
NM_032289,2316,
NM_001352978,939,
NM_022553,2172,
NM_001352977,939,
NM_001204101,1974,
NM_001270679,993,
NM_174983,1443,
NM_174980,936,
NM_174981,1755,
NM_001348129,207,
NM_133344,2013,
NM_001348121,1305,
NM_001348120,1695,
NM_001348122,1305,
NM_001348125,1047,
NM_001348124,1047,
NM_001348126,1209,
NM_001350906,1731,
NM_001135776,1404,
NM_001301365,11406,
NM_000318,918,
NM_001243812,6714,
NM_033489,2247,
NM_001135774,1740,
NM_033484,924,
NM_033487,1581,
NM_033486,2349,
NM_033481,1212,
NM_033480,1314,
NM_033482,3108,
NM_001153635,366,
NM_001243332,2772,
NM_018371,1599,
NM_001243333,2640,
NM_000214,3657,
NM_001193552,3273,
NM_001350904,2091,
NM_001258332,813,
NM_001354525,546,
NM_001008528,615,
NM_001008529,534,
NM_001258330,2106,
NM_003455,1947,
NM_001258331,2340,
NM_139067,3393,
NM_001113411,1728,
NM_001172130,1578,
NM_002840,5724,
NM_001172133,1518,
NM_003451,966,
NM_001354523,2559,
NM_001184896,3183,
NM_001293725,2604,
NM_016206,981,
NM_016207,2055,
NM_016204,1290,
NM_016205,1038,
NM_016202,519,
NM_016203,1710,
NM_016200,291,
NM_016201,2343,
NM_016208,666,
NM_016209,423,
NM_001290215,1338,
NM_001290214,1338,
NM_001290217,1011,
NM_001290216,1368,
NM_001290211,1857,
NM_001290210,345,
NM_001290212,1182,
NM_001538,1389,
NM_001539,1194,
NM_001530,2481,
NM_001531,1026,
NM_001532,1371,
NM_001533,1770,
NM_001535,1302,
NM_001536,1116,
NM_001537,231,
NM_001297698,870,
NM_007279,1428,
NM_007278,354,
NM_001351153,807,
NM_007275,333,
NM_007274,1113,
NM_007277,2238,
NM_007276,552,
NM_007271,1398,
NM_007270,1713,
NM_007272,807,
NM_001350605,1455,
NM_001350604,609,
NM_001350607,1452,
NM_001350606,1455,
NM_001350601,306,
NM_001350600,2883,
NM_001350603,609,
NM_001277842,555,
NM_001169154,645,
NM_001350609,1473,
NM_001350608,1476,
NM_001171992,318,
NM_001194986,1554,
NM_003978,1251,
NM_001352291,1194,
NM_003977,993,
NM_048368,2604,
NM_003975,1170,
NM_003972,5550,
NM_001171990,816,
NM_000219,390,
NM_003971,3924,
NM_001201536,1353,
NM_001352293,1194,
NM_001198656,2886,
NM_001083953,5862,
NM_001083956,1581,
NM_001323958,1023,
NM_001164685,2043,
NM_001164687,1821,
NM_001164680,1122,
NM_001184892,885,
NM_024749,936,
NM_024746,2175,
NM_001126328,2187,
NM_024744,2178,
NM_024745,2019,
NM_001164688,588,
NM_024743,1584,
NM_024740,1857,
NM_024741,2163,
NM_017559,975,
NM_017558,3054,
NM_017551,3030,
NM_017550,1638,
NM_017553,4671,
NM_017552,4377,
NM_017554,5406,
NM_017556,1122,
NM_153343,1323,
NM_153028,891,
NM_001195581,459,
NM_001321231,441,
NM_001080792,558,
NM_001080791,585,
NM_001080790,948,
NM_138768,942,
NM_001172773,1638,
NM_001172772,729,
NM_001172771,726,
NM_001172775,1884,
NM_001172774,2151,
NM_022375,135,
NM_001172779,1395,
NM_001321239,879,
NM_001195637,207,
NM_001195630,540,
NM_001291628,5769,
NM_001348464,1851,
NM_001348465,1851,
NM_001348466,1851,
NM_001291624,1257,
NM_001195639,1122,
NM_001348461,1851,
NM_001348462,1851,
NM_001348463,1851,
NM_001354783,576,
NM_153340,2169,
NM_001293171,456,
NM_139250,543,
NM_001293172,339,
NM_005612,3294,
NM_001293179,1152,
NM_001293178,1299,
NM_001324444,1062,
NM_001324445,1509,
NM_001324446,1062,
NM_001324448,1263,
NM_001324449,1263,
NM_001012981,2904,
NM_001166686,2556,
NM_001166687,2343,
NM_001166688,2343,
NM_001256721,1530,
NM_152677,1302,
NM_001256727,1464,
NM_152671,1356,
NM_001256725,1698,
NM_152673,1617,
NM_001256728,1389,
NM_152678,1827,
NM_152679,1314,
NM_001164829,342,
NM_001081442,1776,
NM_001081443,1476,
NM_001142549,2073,
NM_001003693,894,
NM_001003692,513,
NM_001320722,1422,
NM_001003697,327,
NM_001003696,327,
NM_001324333,1680,
NM_001003694,3663,
NM_177972,1521,
NM_177973,1098,
NM_001003699,5229,
NM_001003698,5064,
NM_177976,561,
NM_177977,1860,
NM_177974,1143,
NM_014117,828,
NM_018679,1326,
NM_018671,2835,
NM_018670,807,
NM_018672,4929,
NM_001048252,246,
NM_018674,2001,
NM_018677,2106,
NM_018676,2559,
NM_001040061,528,
NM_001040060,864,
NM_001282342,1803,
NM_001077349,1401,
NM_001282349,849,
NM_001352127,8646,
NM_001178032,606,
NM_001178033,531,
NM_001178030,2022,
NM_001178031,1842,
NM_001178036,2241,
NM_001178037,2379,
NM_001178034,2403,
NM_004583,651,
NM_004580,666,
NM_001322464,681,
NM_001101330,948,
NM_001322466,855,
NM_020150,597,
NM_001352120,2049,
NM_001101337,303,
NM_001322463,825,
NM_001101339,438,
NM_004586,2223,
NM_001322468,22257,
NM_001322469,5361,
NM_020156,1092,
NM_001282692,1611,
NM_001282693,1599,
NM_001282690,2361,
NM_001287001,900,
NM_001282696,396,
NM_020155,1254,
NM_001282694,1410,
NM_001282695,396,
NM_001282698,396,
NM_001282699,396,
NM_001353723,1374,
NM_001353722,1338,
NM_001353721,1425,
NM_001353720,1341,
NM_001326543,1416,
NM_001353726,1578,
NM_001353725,1422,
NM_001353724,1455,
NM_001353729,1371,
NM_001353728,1575,
NM_020159,3081,
NM_021103,135,
NM_021102,759,
NM_021101,636,
NM_021100,1374,
NM_001354717,1356,
NM_001272042,1509,
NM_001354715,1293,
NM_001354714,1293,
NM_173549,1125,
NM_021109,135,
NM_001141917,4008,
NM_001141919,588,
NM_001199699,1605,
NM_001142797,1248,
NM_001272020,1914,
NM_001142798,579,
NM_001142799,417,
NM_001002901,1281,
NM_012222,1641,
NM_012223,3237,
NM_012224,3777,
NM_012225,816,
NM_001002906,354,
NM_012227,1551,
NM_012228,549,
NM_001002909,4509,
NM_001171510,285,
NM_001171511,384,
NM_006919,1173,
NM_006918,900,
NM_006917,1392,
NM_006916,537,
NM_006915,1053,
NM_006914,1380,
NM_006913,543,
NM_006912,660,
NM_006911,558,
NM_006910,5379,
NM_001135244,4356,
NM_001355448,732,
NM_001355449,531,
NM_001355444,627,
NM_001355445,627,
NM_001355446,627,
NM_001355447,636,
NM_004205,1818,
NM_001330185,726,
NM_004207,1398,
NM_001330187,1944,
NM_001330180,759,
NM_004200,1212,
NM_004203,1500,
NM_004202,135,
NM_004209,690,
NM_004208,1842,
NM_184086,1359,
NM_184087,726,
NM_198552,555,
NM_198551,5724,
NM_198557,1074,
NM_198555,492,
NM_198559,1164,
NM_001321515,1269,
NM_173543,2304,
NM_015159,708,
NM_015158,4059,
NM_025176,4149,
NM_025170,2940,
NM_025179,5685,
NM_144985,2346,
NM_144984,576,
NM_144987,609,
NM_144981,501,
NM_144980,1410,
NM_144982,5970,
NM_024885,1389,
NM_024884,1392,
NM_024887,1005,
NM_024886,774,
NM_144989,687,
NM_144988,651,
NM_145058,636,
NM_145059,3255,
NM_001289008,1431,
NM_001289009,1737,
NM_001289006,1560,
NM_001289007,1509,
NM_145052,930,
NM_145053,1428,
NM_001289002,2160,
NM_145055,1215,
NM_001289000,2475,
NM_145057,447,
NM_001736,1053,
NM_001242307,3117,
NM_001242309,2820,
NM_001089584,444,
NM_001197125,846,
NM_001006109,1065,
NM_001205293,6942,
NM_001243650,339,
NM_001205296,1173,
NM_001243657,513,
NM_001205294,6756,
NM_001243659,321,
NM_001243658,321,
NM_001346189,651,
NM_001346188,687,
NM_001184699,1983,
NM_001184698,327,
NM_001104587,2706,
NM_001104586,2178,
NM_001184695,1239,
NM_001184694,1578,
NM_001184697,1239,
NM_001184696,1239,
NM_001184691,1788,
NM_001184690,1749,
NM_001346187,672,
NM_001346186,672,
NM_001083113,1536,
NM_001109903,1335,
NM_001110199,1962,
NM_001354065,1086,
NM_001085377,3060,
NM_001085375,819,
NM_001085372,282,
NM_001350491,501,
NM_001278508,2004,
NM_080717,1407,
NM_001038633,792,
NM_001271706,702,
NM_001271707,1122,
NM_001271702,1098,
NM_001271703,798,
NM_001271700,1257,
NM_001304458,2199,
NM_001286459,732,
NM_001005176,519,
NM_015532,1107,
NM_001258388,651,
NM_005857,1428,
NM_001350294,423,
NM_005856,447,
NM_006271,285,
NM_015535,1677,
NM_001304450,642,
NM_001204502,708,
NM_001204503,708,
NM_001204504,3495,
NM_001204505,3303,
NM_001204506,3255,
NM_152538,1293,
NM_152536,4389,
NM_015853,939,
NM_152534,3519,
NM_152533,426,
NM_152531,1182,
NM_001034194,1371,
NM_016048,897,
NM_016049,627,
NM_015537,1587,
NM_001171606,2184,
NM_016040,690,
NM_016041,720,
NM_016042,828,
NM_016044,945,
NM_016045,585,
NM_016046,588,
NM_016047,378,
NM_018231,1389,
NM_001159709,1128,
NM_001159708,1023,
NM_001159704,843,
NM_001159707,1155,
NM_001159701,930,
NM_001159700,843,
NM_001159703,585,
NM_001159702,972,
NM_001191033,1995,
NM_001191031,297,
NM_001101426,1356,
NM_001191037,2769,
NM_001191036,261,
NM_001191035,261,
NM_001289824,2385,
NM_001160104,2193,
NM_001242889,1164,
NM_001242888,1209,
NM_001242887,1299,
NM_001242886,1329,
NM_001242885,378,
NM_001242884,2166,
NM_001242883,714,
NM_001242882,990,
NM_001242881,1044,
NM_001167734,3282,
NM_001199455,2511,
NM_001167942,561,
NM_030899,1221,
NM_001167738,4452,
NM_030895,1125,
NM_030893,1167,
NM_030891,774,
NM_001349104,2565,
NM_001349105,615,
NM_031917,1413,
NM_002490,465,
NM_134323,1101,
NM_001349107,810,
NM_001134415,1674,
NM_134324,1038,
NM_134325,2664,
NM_001134418,1584,
NM_001134419,1725,
NM_199346,390,
NM_002497,1338,
NM_000973,774,
NM_000972,801,
NM_000971,747,
NM_000970,867,
NM_000977,636,
NM_002494,231,
NM_000975,537,
NM_000979,567,
NM_000978,423,
NM_001010853,1311,
NM_030765,1137,
NM_030764,1527,
NM_017799,2124,
NM_030766,759,
NM_030761,1056,
NM_030760,1197,
NM_030763,849,
NM_030762,1449,
NM_017793,600,
NM_001323579,663,
NM_017791,1581,
NM_017790,1809,
NM_017797,1578,
NM_030768,1179,
NM_001290118,423,
NM_017794,5406,
NM_001160161,5889,
NM_001349912,621,
NM_199329,1476,
NM_199328,678,
NM_001160167,1107,
NM_001160166,204,
NM_001160169,618,
NM_031937,1527,
NM_199321,1017,
NM_199320,2529,
NM_199327,960,
NM_000073,549,
NM_001316745,1959,
NM_001329515,2115,
NM_001010859,756,
NM_001329517,1854,
NM_001329516,1947,
NM_001323574,1548,
NM_001329656,1263,
NM_001329519,1854,
NM_001329518,1854,
NM_001321468,1248,
NM_001323576,2916,
NM_001353659,1563,
NM_001323571,2976,
NM_001329655,1368,
NM_001323570,2976,
NM_001347919,2724,
NM_001347918,2859,
NM_001347915,1038,
NM_001347914,1227,
NM_001347917,1038,
NM_001347916,1227,
NM_001329658,1263,
NM_001347913,1038,
NM_001347912,1368,
NM_173666,897,
NM_173667,393,
NM_173664,735,
NM_173665,975,
NM_173662,987,
NM_173663,933,
NM_173660,1515,
NM_007057,834,
NM_001353652,648,
NM_201628,2328,
NM_201629,3132,
NM_001353651,756,
NM_201623,699,
NM_201626,2487,
NM_201627,1557,
NM_201624,2736,
NM_007050,4326,
NM_001193509,2382,
NM_175629,2739,
NM_175624,1188,
NM_175625,1236,
NM_007052,1695,
NM_001193503,1176,
NM_175623,1431,
NM_139017,2295,
NM_003403,1245,
NM_139015,1155,
NM_003401,1005,
NM_003406,738,
NM_139012,1083,
NM_003404,741,
NM_139010,507,
NM_003408,1893,
NM_003409,1350,
NM_139018,873,
NM_001258033,2064,
NM_001258032,825,
NM_001015881,234,
NM_001015880,1860,
NM_001015882,1083,
NM_001015885,1107,
NM_001015887,1296,
NM_198053,495,
NM_001204069,1353,
NM_198056,6051,
NM_198057,603,
NM_198055,2205,
NM_004236,1332,
NM_001349463,723,
NM_001113239,3516,
NM_001318537,948,
NM_001318536,948,
NM_001318535,1725,
NM_001318534,1725,
NM_001318533,2136,
NM_001318532,327,
NM_001318531,1635,
NM_001318530,330,
NM_005800,3279,
NM_005801,342,
NM_005802,3138,
NM_001322841,3357,
NM_005804,1284,
NM_005805,933,
NM_001318539,321,
NM_005807,4215,
NM_001312672,441,
NM_001312673,1104,
NM_015551,1890,
NM_018302,945,
NM_015557,5865,
NM_015556,5415,
NM_015555,3042,
NM_015554,1854,
NM_018309,2055,
NM_015559,4791,
NM_002469,729,
NM_002468,930,
NM_002463,2148,
NM_002462,1989,
NM_002461,1203,
NM_002460,1356,
NM_002467,1365,
NM_002466,2103,
NM_002465,3516,
NM_031960,558,
NM_031961,525,
NM_031962,480,
NM_031963,480,
NM_031964,318,
NM_031965,2397,
NM_031966,1302,
NM_031968,1509,
NM_001256253,2466,
NM_001256252,2604,
NM_001256255,2130,
NM_001256254,2238,
NM_001301289,747,
NM_033520,321,
NM_033529,2313,
NM_001353259,975,
NM_001353258,975,
NM_001353253,975,
NM_001353252,975,
NM_001353251,975,
NM_001353250,975,
NM_001353257,975,
NM_001353256,975,
NM_001353255,975,
NM_001353254,975,
NM_001082967,399,
NM_016618,780,
NM_001082968,1524,
NM_001082969,882,
NM_001313982,2340,
NM_001195015,558,
NM_001195014,840,
NM_001195017,558,
NM_005119,2868,
NM_001195010,1671,
NM_001256879,1410,
NM_001256877,4059,
NM_005113,2196,
NM_001256875,843,
NM_005116,1953,
NM_005117,651,
NM_005114,924,
NM_005115,2682,
NM_213566,807,
NM_001311162,486,
NM_001311160,486,
NM_001354159,2163,
NM_001354158,2163,
NM_213560,2847,
NM_001354155,2187,
NM_001354154,2316,
NM_170706,909,
NM_170707,1995,
NM_001354151,2442,
NM_001320943,1032,
NM_001354153,2208,
NM_213569,813,
NM_001348907,1275,
NM_001355287,888,
NM_001002292,1632,
NM_001002294,1599,
NM_001355283,888,
NM_001002296,414,
NM_001355281,918,
NM_004447,2469,
NM_004446,4539,
NM_004445,3069,
NM_001277053,1518,
NM_004443,2997,
NM_004442,2964,
NM_004441,2955,
NM_004440,2997,
NM_001277058,3186,
NM_001277059,3186,
NM_004449,1389,
NM_004448,3768,
NM_000569,1080,
NM_000560,660,
NM_000561,657,
NM_000562,1755,
NM_000564,1263,
NM_000565,1407,
NM_000566,1125,
NM_000567,675,
NM_001301139,1191,
NM_001301138,2661,
NM_001301131,318,
NM_001301130,477,
NM_001301132,2340,
NM_001301135,1140,
NM_001301134,1140,
NM_001301136,1323,
NM_004999,3858,
NM_004998,3327,
NM_004995,1749,
NM_004994,2124,
NM_004997,1434,
NM_004996,4596,
NM_004991,3720,
NM_004990,2703,
NM_004993,1086,
NM_004992,1461,
NM_001161359,2520,
NM_001161358,2670,
NM_177398,1149,
NM_000698,2025,
NM_000699,1536,
NM_000696,1557,
NM_000697,1992,
NM_001161353,3660,
NM_001161352,3711,
NM_000692,1554,
NM_000693,1539,
NM_000690,1554,
NM_000691,1362,
NM_001354664,2511,
NM_153485,4176,
NM_012079,1467,
NM_153486,1524,
NM_153487,2868,
NM_001304949,984,
NM_138969,930,
NM_001304947,1233,
NM_173073,1035,
NM_001304944,1026,
NM_001304943,4275,
NM_001304942,4275,
NM_001304941,4275,
NM_001304940,4275,
NM_017969,2460,
NM_001308079,954,
NM_001308078,705,
NM_138731,1329,
NM_001167987,711,
NM_017966,1068,
NM_001167985,666,
NM_138735,1329,
NM_138734,2001,
NM_138737,3639,
NM_138736,1065,
NM_001164723,1029,
NM_001164722,1029,
NM_001164721,1029,
NM_001164720,336,
NM_001012644,399,
NM_001012642,1065,
NM_001012643,1200,
NM_001177800,735,
NM_001177801,441,
NM_006593,2049,
NM_001319236,354,
NM_001160408,1506,
NM_006590,1698,
NM_006597,1941,
NM_006595,1515,
NM_006594,2220,
NM_001349904,1968,
NM_001349905,1968,
NM_006599,4596,
NM_006598,3252,
NM_001349900,2181,
NM_001160407,603,
NM_001349902,1950,
NM_001349903,1950,
NM_002870,612,
NM_001257394,312,
NM_002872,579,
NM_001257396,318,
NM_002874,1230,
NM_002875,1020,
NM_001257393,513,
NM_002877,1053,
NM_002878,987,
NM_001257399,318,
NM_001257398,318,
NM_001252148,855,
NM_001323610,3273,
NM_001323611,3198,
NM_001323614,2892,
NM_001323615,2913,
NM_001323616,2853,
NM_001323617,2853,
NM_001323619,2835,
NM_004232,1608,
NM_001122823,1581,
NM_001122821,873,
NM_001122826,1980,
NM_001122827,1815,
NM_001122824,1188,
NM_001122825,1827,
NM_001317990,1755,
NM_001164278,1356,
NM_001256821,711,
NM_001256822,996,
NM_147163,702,
NM_014096,1476,
NM_147164,1119,
NM_005141,1476,
NM_147168,384,
NM_014661,1269,
NM_000302,2184,
NM_001256825,1686,
NM_001164276,1992,
NM_005143,1221,
NM_001007525,4299,
NM_001007524,1116,
NM_001007527,2088,
NM_005142,1254,
NM_001007523,1116,
NM_000305,1065,
NM_001291018,282,
NM_000306,876,
NM_001100398,2148,
NM_001100399,4014,
NM_014329,4206,
NM_014328,1302,
NM_014323,2064,
NM_001100391,915,
NM_014321,759,
NM_001100393,876,
NM_014326,1113,
NM_014325,1425,
NM_014324,1149,
NM_152731,840,
NM_152730,3774,
NM_152733,1635,
NM_152732,831,
NM_152735,1422,
NM_152734,1065,
NM_152737,744,
NM_152736,1035,
NM_152739,819,
NM_001193350,1422,
NM_152385,1761,
NM_006228,531,
NM_023000,3612,
NM_023001,3567,
NM_023002,1209,
NM_023003,1113,
NM_023004,1422,
NM_023007,1392,
NM_023008,2130,
NM_023009,588,
NM_001352395,1422,
NM_001017961,786,
NM_001017962,1605,
NM_001352396,1137,
NM_001352391,1545,
NM_001352390,1545,
NM_001352393,1545,
NM_001017967,1233,
NM_001144945,519,
NM_001017969,6312,
NM_001352399,1347,
NM_006227,1482,
