transcript,double_bases,double_percent,single_bases,single_percent
PB2015.12543.4_197,54.0,0.54,46.0,0.46
PB2015.12543.4_194,62.0,0.62,38.0,0.38
PB2015.12543.4_195,60.0,0.6,40.0,0.4
PB2015.12543.4_198,60.0,0.6,40.0,0.4
PB2015.12543.4_199,60.0,0.6,40.0,0.4
PB2015.5485.1_7,56.0,0.56,44.0,0.44
PB2015.5485.1_6,52.0,0.52,48.0,0.48
PB2015.5485.1_5,50.0,0.5,50.0,0.5
PB2015.5485.1_4,42.0,0.42,58.0,0.58
PB2015.5485.1_3,34.0,0.34,66.0,0.66
PB2015.5485.1_2,46.0,0.46,54.0,0.54
PB2015.5485.1_1,50.0,0.5,50.0,0.5
PB2015.5485.1_0,50.0,0.5,50.0,0.5
PB2015.5936.2_4,68.0,0.68,32.0,0.32
PB2015.5485.1_9,62.0,0.62,38.0,0.38
PB2015.5485.1_8,58.0,0.58,42.0,0.42
PB2015.12543.4_224,64.0,0.64,36.0,0.36
PB2015.12543.4_225,68.0,0.68,32.0,0.32
PB2015.12543.4_226,70.0,0.7,30.0,0.3
PB2015.12543.4_227,70.0,0.7,30.0,0.3
PB2015.12543.4_220,58.0,0.58,42.0,0.42
PB2015.12543.4_221,58.0,0.58,42.0,0.42
PB2015.12543.4_222,58.0,0.58,42.0,0.42
PB2015.12543.4_223,60.0,0.6,40.0,0.4
PB2015.12543.4_228,50.0,0.5,50.0,0.5
PB2015.12543.4_229,50.0,0.5,50.0,0.5
PB2015.7362.2_0,64.0,0.64,36.0,0.36
PB2015.7362.2_1,64.0,0.64,36.0,0.36
PB2015.7362.2_2,60.0,0.6,40.0,0.4
PB2015.7362.2_3,62.0,0.62,38.0,0.38
PB2015.7362.2_4,54.0,0.54,46.0,0.46
PB2015.7362.2_5,60.0,0.6,40.0,0.4
PB2015.7362.2_6,58.0,0.58,42.0,0.42
PB2015.7362.2_7,68.0,0.68,32.0,0.32
PB2015.7362.2_8,64.0,0.64,36.0,0.36
PB2015.7362.2_9,58.0,0.58,42.0,0.42
PB2015.2281.4_115,26.0,0.26,74.0,0.74
PB2015.2281.4_114,38.0,0.38,62.0,0.62
PB2015.2281.4_117,34.0,0.34,66.0,0.66
PB2015.2281.4_116,26.0,0.26,74.0,0.74
PB2015.2281.4_111,52.0,0.52,48.0,0.48
PB2015.2281.4_110,52.0,0.52,48.0,0.48
PB2015.2281.4_113,34.0,0.34,66.0,0.66
PB2015.2281.4_112,44.0,0.44,56.0,0.56
PB2015.7967.1_0,56.0,0.56,44.0,0.44
PB2015.7967.1_1,54.0,0.54,46.0,0.46
PB2015.7967.1_2,54.0,0.54,46.0,0.46
PB2015.7967.1_3,62.0,0.62,38.0,0.38
PB2015.7967.1_4,56.0,0.56,44.0,0.44
PB2015.8725.1_20,68.0,0.68,32.0,0.32
PB2015.8725.1_21,66.0,0.66,34.0,0.34
PB2015.8725.1_22,70.0,0.7,30.0,0.3
PB2015.8725.1_23,64.0,0.64,36.0,0.36
PB2015.8725.1_24,58.0,0.58,42.0,0.42
PB2015.8725.1_25,64.0,0.64,36.0,0.36
PB2015.8725.1_26,66.0,0.66,34.0,0.34
PB2015.8725.1_27,54.0,0.54,46.0,0.46
PB2015.8725.1_28,54.0,0.54,46.0,0.46
PB2015.8725.1_29,60.0,0.6,40.0,0.4
PB2015.13580.2_12,50.0,0.5,50.0,0.5
PB2015.13580.2_10,54.0,0.54,46.0,0.46
PB2015.13580.2_11,56.0,0.56,44.0,0.44
PB2015.13770.14_1,62.0,0.62,38.0,0.38
PB2015.13770.14_0,56.0,0.56,44.0,0.44
PB2015.865.2_52,32.0,0.32,68.0,0.68
PB2015.865.2_53,28.0,0.28,72.0,0.72
PB2015.865.2_50,44.0,0.44,56.0,0.56
PB2015.865.2_51,34.0,0.34,66.0,0.66
PB2015.865.2_56,30.0,0.3,70.0,0.7
PB2015.865.2_57,38.0,0.38,62.0,0.62
PB2015.865.2_54,26.0,0.26,74.0,0.74
PB2015.865.2_55,28.0,0.28,72.0,0.72
PB2015.6259.2_0,60.0,0.6,40.0,0.4
PB2015.6259.2_1,52.0,0.52,48.0,0.48
PB2015.865.2_58,42.0,0.42,58.0,0.58
PB2015.865.2_59,58.0,0.58,42.0,0.42
PB2015.10280.7_44,66.0,0.66,34.0,0.34
PB2015.10280.7_45,52.0,0.52,48.0,0.48
PB2015.10280.7_46,52.0,0.52,48.0,0.48
PB2015.10280.7_40,72.0,0.72,28.0,0.28
PB2015.10280.7_41,72.0,0.72,28.0,0.28
PB2015.10280.7_42,66.0,0.66,34.0,0.34
PB2015.10280.7_43,62.0,0.62,38.0,0.38
PB2015.10389.2_47,68.0,0.68,32.0,0.32
PB2015.10389.2_46,68.0,0.68,32.0,0.32
PB2015.10389.2_45,66.0,0.66,34.0,0.34
PB2015.10389.2_44,58.0,0.58,42.0,0.42
PB2015.10389.2_43,58.0,0.58,42.0,0.42
PB2015.10389.2_42,52.0,0.52,48.0,0.48
PB2015.10389.2_41,64.0,0.64,36.0,0.36
PB2015.10389.2_40,64.0,0.64,36.0,0.36
PB2015.10389.2_49,62.0,0.62,38.0,0.38
PB2015.10389.2_48,60.0,0.6,40.0,0.4
PB2015.14636.1_2,54.0,0.54,46.0,0.46
PB2015.14636.1_3,54.0,0.54,46.0,0.46
PB2015.14636.1_0,64.0,0.64,36.0,0.36
PB2015.14636.1_1,54.0,0.54,46.0,0.46
PB2015.15622.8_13,72.0,0.72,28.0,0.28
PB2015.15622.8_12,64.0,0.64,36.0,0.36
PB2015.14636.1_4,42.0,0.42,58.0,0.58
PB2015.15622.8_10,68.0,0.68,32.0,0.32
PB2015.15622.8_19,62.0,0.62,38.0,0.38
PB2015.15622.8_18,64.0,0.64,36.0,0.36
PB2015.13607.10_18,52.0,0.52,48.0,0.48
PB2015.13607.10_19,44.0,0.44,56.0,0.56
PB2015.13607.10_14,42.0,0.42,58.0,0.58
PB2015.13607.10_15,52.0,0.52,48.0,0.48
PB2015.13607.10_16,36.0,0.36,64.0,0.64
PB2015.13607.10_17,42.0,0.42,58.0,0.58
PB2015.13607.10_10,38.0,0.38,62.0,0.62
PB2015.13607.10_11,42.0,0.42,58.0,0.58
PB2015.13607.10_12,44.0,0.44,56.0,0.56
PB2015.13607.10_13,46.0,0.46,54.0,0.54
PB2015.11363.1_2,64.0,0.64,36.0,0.36
PB2015.11363.1_0,60.0,0.6,40.0,0.4
PB2015.11363.1_1,62.0,0.62,38.0,0.38
PB2015.16642.9_119,50.0,0.5,50.0,0.5
PB2015.16642.9_118,46.0,0.46,54.0,0.54
PB2015.16642.9_115,56.0,0.56,44.0,0.44
PB2015.16642.9_114,70.0,0.7,30.0,0.3
PB2015.1335.1_3,42.0,0.42,58.0,0.58
PB2015.1335.1_2,56.0,0.56,44.0,0.44
PB2015.16642.9_111,66.0,0.66,34.0,0.34
PB2015.16642.9_110,70.0,0.7,30.0,0.3
PB2015.16642.9_113,64.0,0.64,36.0,0.36
PB2015.16642.9_112,68.0,0.68,32.0,0.32
PB2015.10120.1_29,62.0,0.62,38.0,0.38
PB2015.10120.1_28,62.0,0.62,38.0,0.38
PB2015.13489.3_24,42.0,0.42,58.0,0.58
PB2015.10120.1_26,50.0,0.5,50.0,0.5
PB2015.10120.1_25,52.0,0.52,48.0,0.48
PB2015.10120.1_24,50.0,0.5,50.0,0.5
PB2015.13489.3_20,58.0,0.58,42.0,0.42
PB2015.13489.3_21,56.0,0.56,44.0,0.44
PB2015.10120.1_21,56.0,0.56,44.0,0.44
PB2015.10120.1_20,62.0,0.62,38.0,0.38
PB2015.9479.3_4,62.0,0.62,38.0,0.38
PB2015.9479.3_5,54.0,0.54,46.0,0.46
PB2015.9479.3_6,54.0,0.54,46.0,0.46
PB2015.9479.3_7,56.0,0.56,44.0,0.44
PB2015.9479.3_0,64.0,0.64,36.0,0.36
PB2015.9479.3_1,64.0,0.64,36.0,0.36
PB2015.9479.3_2,60.0,0.6,40.0,0.4
PB2015.9479.3_3,62.0,0.62,38.0,0.38
PB2015.9479.3_8,58.0,0.58,42.0,0.42
PB2015.9479.3_9,56.0,0.56,44.0,0.44
PB2015.14886.1_39,56.0,0.56,44.0,0.44
PB2015.15059.2_12,56.0,0.56,44.0,0.44
PB2015.16821.4_14,54.0,0.54,46.0,0.46
PB2015.16821.4_13,44.0,0.44,56.0,0.56
PB2015.16821.4_12,58.0,0.58,42.0,0.42
PB2015.16821.4_11,58.0,0.58,42.0,0.42
PB2015.16821.4_10,48.0,0.48,52.0,0.52
PB2015.14269.2_5,60.0,0.6,40.0,0.4
PB2015.14269.2_4,54.0,0.54,46.0,0.46
PB2015.14269.2_6,52.0,0.52,48.0,0.48
PB2015.14269.2_1,50.0,0.5,50.0,0.5
PB2015.14269.2_0,56.0,0.56,44.0,0.44
PB2015.14269.2_3,54.0,0.54,46.0,0.46
PB2015.14269.2_2,54.0,0.54,46.0,0.46
PB2015.12109.1_11,68.0,0.68,32.0,0.32
PB2015.12109.1_10,66.0,0.66,34.0,0.34
PB2015.12109.1_13,56.0,0.56,44.0,0.44
PB2015.12109.1_12,62.0,0.62,38.0,0.38
PB2015.12109.1_15,62.0,0.62,38.0,0.38
PB2015.12109.1_14,58.0,0.58,42.0,0.42
PB2015.12109.1_16,72.0,0.72,28.0,0.28
PB2015.16092.2_3,60.0,0.6,40.0,0.4
PB2015.16092.2_2,68.0,0.68,32.0,0.32
PB2015.16092.2_1,60.0,0.6,40.0,0.4
PB2015.16092.2_0,68.0,0.68,32.0,0.32
PB2015.11193.2_2,64.0,0.64,36.0,0.36
PB2015.11193.2_3,60.0,0.6,40.0,0.4
PB2015.11193.2_0,52.0,0.52,48.0,0.48
PB2015.11193.2_1,62.0,0.62,38.0,0.38
PB2015.11193.2_6,52.0,0.52,48.0,0.48
PB2015.11193.2_7,58.0,0.58,42.0,0.42
PB2015.11193.2_4,56.0,0.56,44.0,0.44
PB2015.11193.2_5,52.0,0.52,48.0,0.48
PB2015.6270.3_2,54.0,0.54,46.0,0.46
PB2015.8986.2_43,56.0,0.56,44.0,0.44
PB2015.4471.2_12,52.0,0.52,48.0,0.48
PB2015.8986.2_41,58.0,0.58,42.0,0.42
PB2015.6270.3_6,64.0,0.64,36.0,0.36
PB2015.9107.1_0,60.0,0.6,40.0,0.4
PB2015.9107.1_1,60.0,0.6,40.0,0.4
PB2015.9107.1_2,68.0,0.68,32.0,0.32
PB2015.8986.2_47,48.0,0.48,52.0,0.52
PB2015.4471.2_16,64.0,0.64,36.0,0.36
PB2015.6270.3_5,66.0,0.66,34.0,0.34
PB2015.6270.3_8,66.0,0.66,34.0,0.34
PB2015.8986.2_49,36.0,0.36,64.0,0.64
PB2015.12543.4_18,50.0,0.5,50.0,0.5
PB2015.12543.4_19,52.0,0.52,48.0,0.48
PB2015.12543.4_10,52.0,0.52,48.0,0.48
PB2015.12543.4_11,48.0,0.48,52.0,0.52
PB2015.12543.4_12,54.0,0.54,46.0,0.46
PB2015.12543.4_13,46.0,0.46,54.0,0.54
PB2015.12543.4_14,50.0,0.5,50.0,0.5
PB2015.12543.4_15,50.0,0.5,50.0,0.5
PB2015.12543.4_16,58.0,0.58,42.0,0.42
PB2015.12543.4_17,54.0,0.54,46.0,0.46
PB2015.6993.4_41,68.0,0.68,32.0,0.32
PB2015.6993.4_42,72.0,0.72,28.0,0.28
PB2015.13489.3_9,54.0,0.54,46.0,0.46
PB2015.13489.3_8,58.0,0.58,42.0,0.42
PB2015.13489.3_5,56.0,0.56,44.0,0.44
PB2015.13489.3_4,64.0,0.64,36.0,0.36
PB2015.13489.3_7,62.0,0.62,38.0,0.38
PB2015.13489.3_6,60.0,0.6,40.0,0.4
PB2015.13489.3_1,66.0,0.66,34.0,0.34
PB2015.13489.3_0,64.0,0.64,36.0,0.36
PB2015.13489.3_3,60.0,0.6,40.0,0.4
PB2015.13489.3_2,62.0,0.62,38.0,0.38
PB2015.11383.1_0,66.0,0.66,34.0,0.34
PB2015.11383.1_1,52.0,0.52,48.0,0.48
PB2015.11383.1_2,48.0,0.48,52.0,0.52
PB2015.11383.1_3,48.0,0.48,52.0,0.52
PB2015.11383.1_4,38.0,0.38,62.0,0.62
PB2015.11383.1_5,42.0,0.42,58.0,0.58
PB2015.11383.1_6,32.0,0.32,68.0,0.68
PB2015.11383.1_7,30.0,0.3,70.0,0.7
PB2015.11383.1_8,24.0,0.24,76.0,0.76
PB2015.11383.1_9,30.0,0.3,70.0,0.7
PB2015.9833.1_18,46.0,0.46,54.0,0.54
PB2015.9833.1_19,48.0,0.48,52.0,0.52
PB2015.13582.2_18,58.0,0.58,42.0,0.42
PB2015.13582.2_19,62.0,0.62,38.0,0.38
PB2015.13582.2_10,64.0,0.64,36.0,0.36
PB2015.13582.2_11,60.0,0.6,40.0,0.4
PB2015.13582.2_12,64.0,0.64,36.0,0.36
PB2015.13582.2_13,56.0,0.56,44.0,0.44
PB2015.13582.2_14,68.0,0.68,32.0,0.32
PB2015.13582.2_15,58.0,0.58,42.0,0.42
PB2015.13582.2_16,58.0,0.58,42.0,0.42
PB2015.13582.2_17,52.0,0.52,48.0,0.48
PB2015.5094.4_38,36.0,0.36,64.0,0.64
PB2015.5094.4_39,38.0,0.38,62.0,0.62
PB2015.5094.4_34,38.0,0.38,62.0,0.62
PB2015.5094.4_35,28.0,0.28,72.0,0.72
PB2015.5094.4_36,36.0,0.36,64.0,0.64
PB2015.5094.4_37,40.0,0.4,60.0,0.6
PB2015.5094.4_30,24.0,0.24,76.0,0.76
PB2015.5094.4_31,38.0,0.38,62.0,0.62
PB2015.5094.4_32,36.0,0.36,64.0,0.64
PB2015.5094.4_33,38.0,0.38,62.0,0.62
PB2015.7044.1_4,56.0,0.56,44.0,0.44
PB2015.7044.1_5,60.0,0.6,40.0,0.4
PB2015.7044.1_6,54.0,0.54,46.0,0.46
PB2015.7044.1_7,58.0,0.58,42.0,0.42
PB2015.7044.1_0,54.0,0.54,46.0,0.46
PB2015.7044.1_1,58.0,0.58,42.0,0.42
PB2015.7044.1_2,60.0,0.6,40.0,0.4
PB2015.7044.1_3,58.0,0.58,42.0,0.42
PB2015.7044.1_8,42.0,0.42,58.0,0.58
PB2015.7044.1_9,50.0,0.5,50.0,0.5
PB2015.856.19_11,54.0,0.54,46.0,0.46
PB2015.856.19_10,50.0,0.5,50.0,0.5
PB2015.856.19_13,50.0,0.5,50.0,0.5
PB2015.856.19_12,44.0,0.44,56.0,0.56
PB2015.856.19_15,52.0,0.52,48.0,0.48
PB2015.856.19_14,58.0,0.58,42.0,0.42
PB2015.856.19_17,56.0,0.56,44.0,0.44
PB2015.856.19_16,54.0,0.54,46.0,0.46
PB2015.856.19_19,46.0,0.46,54.0,0.54
PB2015.856.19_18,48.0,0.48,52.0,0.52
PB2015.16389.7_1,68.0,0.68,32.0,0.32
PB2015.16389.7_0,60.0,0.6,40.0,0.4
PB2015.16389.7_3,68.0,0.68,32.0,0.32
PB2015.16389.7_2,60.0,0.6,40.0,0.4
PB2015.16389.7_5,46.0,0.46,54.0,0.54
PB2015.16389.7_4,56.0,0.56,44.0,0.44
PB2015.16389.7_7,62.0,0.62,38.0,0.38
PB2015.16389.7_6,54.0,0.54,46.0,0.46
PB2015.16389.7_9,52.0,0.52,48.0,0.48
PB2015.16389.7_8,62.0,0.62,38.0,0.38
PB2015.15320.4_16,54.0,0.54,46.0,0.46
PB2015.3282.2_44,58.0,0.58,42.0,0.42
PB2015.3282.2_45,62.0,0.62,38.0,0.38
PB2015.3282.2_46,66.0,0.66,34.0,0.34
PB2015.3282.2_47,70.0,0.7,30.0,0.3
PB2015.3282.2_40,60.0,0.6,40.0,0.4
PB2015.3282.2_41,58.0,0.58,42.0,0.42
PB2015.3282.2_42,62.0,0.62,38.0,0.38
PB2015.3282.2_43,56.0,0.56,44.0,0.44
PB2015.3282.2_48,64.0,0.64,36.0,0.36
PB2015.3282.2_49,70.0,0.7,30.0,0.3
PB2015.16141.1_1,68.0,0.68,32.0,0.32
PB2015.16141.1_0,62.0,0.62,38.0,0.38
PB2015.16141.1_3,66.0,0.66,34.0,0.34
PB2015.16141.1_2,64.0,0.64,36.0,0.36
PB2015.16141.1_5,60.0,0.6,40.0,0.4
PB2015.9761.1_28,42.0,0.42,58.0,0.58
PB2015.16141.1_7,60.0,0.6,40.0,0.4
PB2015.16141.1_6,54.0,0.54,46.0,0.46
PB2015.9761.1_25,40.0,0.4,60.0,0.6
PB2015.9761.1_24,52.0,0.52,48.0,0.48
PB2015.9761.1_27,54.0,0.54,46.0,0.46
PB2015.9761.1_26,52.0,0.52,48.0,0.48
PB2015.9761.1_21,54.0,0.54,46.0,0.46
PB2015.9761.1_20,42.0,0.42,58.0,0.58
PB2015.9761.1_23,48.0,0.48,52.0,0.52
PB2015.9761.1_22,66.0,0.66,34.0,0.34
PB2015.15320.4_14,60.0,0.6,40.0,0.4
PB2015.15320.4_15,54.0,0.54,46.0,0.46
PB2015.15537.1_9,56.0,0.56,44.0,0.44
PB2015.15537.1_8,56.0,0.56,44.0,0.44
PB2015.15537.1_3,60.0,0.6,40.0,0.4
PB2015.15537.1_2,62.0,0.62,38.0,0.38
PB2015.15537.1_1,66.0,0.66,34.0,0.34
PB2015.15537.1_0,68.0,0.68,32.0,0.32
PB2015.15537.1_7,54.0,0.54,46.0,0.46
PB2015.15537.1_6,58.0,0.58,42.0,0.42
PB2015.15537.1_5,60.0,0.6,40.0,0.4
PB2015.15537.1_4,60.0,0.6,40.0,0.4
PB2015.13355.8_29,64.0,0.64,36.0,0.36
PB2015.13355.8_28,72.0,0.72,28.0,0.28
PB2015.13355.8_25,56.0,0.56,44.0,0.44
PB2015.13355.8_24,54.0,0.54,46.0,0.46
PB2015.13355.8_27,72.0,0.72,28.0,0.28
PB2015.13355.8_26,62.0,0.62,38.0,0.38
PB2015.13355.8_21,54.0,0.54,46.0,0.46
PB2015.13355.8_20,56.0,0.56,44.0,0.44
PB2015.13355.8_23,52.0,0.52,48.0,0.48
PB2015.13355.8_22,56.0,0.56,44.0,0.44
PB2015.15537.1_39,60.0,0.6,40.0,0.4
PB2015.15537.1_38,58.0,0.58,42.0,0.42
PB2015.15537.1_31,36.0,0.36,64.0,0.64
PB2015.15537.1_30,46.0,0.46,54.0,0.54
PB2015.15537.1_33,42.0,0.42,58.0,0.58
PB2015.15537.1_32,44.0,0.44,56.0,0.56
PB2015.15537.1_35,52.0,0.52,48.0,0.48
PB2015.15537.1_34,42.0,0.42,58.0,0.58
PB2015.15537.1_37,58.0,0.58,42.0,0.42
PB2015.15537.1_36,54.0,0.54,46.0,0.46
PB2015.11794.1_52,38.0,0.38,62.0,0.62
PB2015.11794.1_53,46.0,0.46,54.0,0.54
PB2015.11794.1_50,48.0,0.48,52.0,0.52
PB2015.11794.1_51,48.0,0.48,52.0,0.52
PB2015.13755.2_0,70.0,0.7,30.0,0.3
PB2015.13755.2_1,72.0,0.72,28.0,0.28
PB2015.13755.2_2,62.0,0.62,38.0,0.38
PB2015.13755.2_3,68.0,0.68,32.0,0.32
PB2015.11794.1_58,50.0,0.5,50.0,0.5
PB2015.11794.1_59,46.0,0.46,54.0,0.54
PB2015.6218.1_0,64.0,0.64,36.0,0.36
PB2015.6218.1_1,62.0,0.62,38.0,0.38
PB2015.2947.2_8,52.0,0.52,48.0,0.48
PB2015.2947.2_9,56.0,0.56,44.0,0.44
PB2015.2947.2_6,54.0,0.54,46.0,0.46
PB2015.2947.2_7,58.0,0.58,42.0,0.42
PB2015.2947.2_4,56.0,0.56,44.0,0.44
PB2015.2947.2_5,60.0,0.6,40.0,0.4
PB2015.2947.2_2,62.0,0.62,38.0,0.38
PB2015.2947.2_3,64.0,0.64,36.0,0.36
PB2015.2947.2_0,60.0,0.6,40.0,0.4
PB2015.2947.2_1,64.0,0.64,36.0,0.36
PB2015.11512.1_4,52.0,0.52,48.0,0.48
PB2015.11512.1_0,54.0,0.54,46.0,0.46
PB2015.11512.1_1,56.0,0.56,44.0,0.44
PB2015.11512.1_2,50.0,0.5,50.0,0.5
PB2015.11512.1_3,48.0,0.48,52.0,0.52
PB2015.13055.2_3,54.0,0.54,46.0,0.46
PB2015.13055.2_2,62.0,0.62,38.0,0.38
PB2015.13055.2_1,54.0,0.54,46.0,0.46
PB2015.13055.2_0,62.0,0.62,38.0,0.38
PB2015.9833.1_21,54.0,0.54,46.0,0.46
PB2015.5463.6_4,68.0,0.68,32.0,0.32
PB2015.13098.1_21,36.0,0.36,64.0,0.64
PB2015.5463.6_6,58.0,0.58,42.0,0.42
PB2015.5463.6_7,60.0,0.6,40.0,0.4
PB2015.13098.1_24,44.0,0.44,56.0,0.56
PB2015.5463.6_1,68.0,0.68,32.0,0.32
PB2015.13098.1_26,36.0,0.36,64.0,0.64
PB2015.5463.6_3,60.0,0.6,40.0,0.4
PB2015.16327.4_25,52.0,0.52,48.0,0.48
PB2015.15838.2_113,66.0,0.66,34.0,0.34
PB2015.16327.4_27,56.0,0.56,44.0,0.44
PB2015.15838.2_111,60.0,0.6,40.0,0.4
PB2015.16327.4_21,54.0,0.54,46.0,0.46
PB2015.15838.2_117,56.0,0.56,44.0,0.44
PB2015.15838.2_114,68.0,0.68,32.0,0.32
PB2015.15838.2_115,66.0,0.66,34.0,0.34
PB2015.15838.2_118,58.0,0.58,42.0,0.42
PB2015.15838.2_119,54.0,0.54,46.0,0.46
PB2015.16327.4_29,44.0,0.44,56.0,0.56
PB2015.16327.4_28,54.0,0.54,46.0,0.46
PB2015.7984.5_1,60.0,0.6,40.0,0.4
PB2015.7984.5_0,52.0,0.52,48.0,0.48
PB2015.7984.5_3,54.0,0.54,46.0,0.46
PB2015.7984.5_2,60.0,0.6,40.0,0.4
PB2015.7984.5_5,54.0,0.54,46.0,0.46
PB2015.7984.5_4,54.0,0.54,46.0,0.46
PB2015.292.3_9,54.0,0.54,46.0,0.46
PB2015.292.3_8,50.0,0.5,50.0,0.5
PB2015.292.3_5,54.0,0.54,46.0,0.46
PB2015.292.3_4,64.0,0.64,36.0,0.36
PB2015.292.3_7,54.0,0.54,46.0,0.46
PB2015.292.3_6,58.0,0.58,42.0,0.42
PB2015.292.3_1,72.0,0.72,28.0,0.28
PB2015.292.3_0,68.0,0.68,32.0,0.32
PB2015.292.3_3,72.0,0.72,28.0,0.28
PB2015.292.3_2,62.0,0.62,38.0,0.38
PB2015.6033.1_39,56.0,0.56,44.0,0.44
PB2015.6033.1_38,52.0,0.52,48.0,0.48
PB2015.6033.1_37,58.0,0.58,42.0,0.42
PB2015.6033.1_36,54.0,0.54,46.0,0.46
PB2015.6033.1_35,52.0,0.52,48.0,0.48
PB2015.6033.1_34,54.0,0.54,46.0,0.46
PB2015.6033.1_33,56.0,0.56,44.0,0.44
PB2015.6033.1_32,58.0,0.58,42.0,0.42
PB2015.6033.1_31,56.0,0.56,44.0,0.44
PB2015.6033.1_30,46.0,0.46,54.0,0.54
PB2015.5688.10_19,66.0,0.66,34.0,0.34
PB2015.5688.10_18,68.0,0.68,32.0,0.32
PB2015.5688.10_17,62.0,0.62,38.0,0.38
PB2015.5688.10_16,62.0,0.62,38.0,0.38
PB2015.5688.10_15,62.0,0.62,38.0,0.38
PB2015.5688.10_14,64.0,0.64,36.0,0.36
PB2015.5688.10_13,58.0,0.58,42.0,0.42
PB2015.5688.10_12,68.0,0.68,32.0,0.32
PB2015.5688.10_11,58.0,0.58,42.0,0.42
PB2015.5688.10_10,62.0,0.62,38.0,0.38
PB2015.3570.2_7,68.0,0.68,32.0,0.32
PB2015.3570.2_6,68.0,0.68,32.0,0.32
PB2015.3570.2_5,60.0,0.6,40.0,0.4
PB2015.3570.2_4,64.0,0.64,36.0,0.36
PB2015.3570.2_3,60.0,0.6,40.0,0.4
PB2015.3570.2_2,62.0,0.62,38.0,0.38
PB2015.15534.2_28,64.0,0.64,36.0,0.36
PB2015.15534.2_29,62.0,0.62,38.0,0.38
PB2015.15534.2_26,68.0,0.68,32.0,0.32
PB2015.15534.2_27,66.0,0.66,34.0,0.34
PB2015.15534.2_24,64.0,0.64,36.0,0.36
PB2015.15534.2_25,64.0,0.64,36.0,0.36
PB2015.15534.2_22,66.0,0.66,34.0,0.34
PB2015.15534.2_23,68.0,0.68,32.0,0.32
PB2015.3570.2_9,68.0,0.68,32.0,0.32
PB2015.3570.2_8,68.0,0.68,32.0,0.32
PB2015.6258.1_2,66.0,0.66,34.0,0.34
PB2015.11036.1_9,56.0,0.56,44.0,0.44
PB2015.6258.1_1,64.0,0.64,36.0,0.36
PB2015.7339.2_0,62.0,0.62,38.0,0.38
PB2015.7339.2_1,56.0,0.56,44.0,0.44
PB2015.7339.2_2,66.0,0.66,34.0,0.34
PB2015.7339.2_3,58.0,0.58,42.0,0.42
PB2015.11036.1_3,52.0,0.52,48.0,0.48
PB2015.11036.1_2,48.0,0.48,52.0,0.52
PB2015.11036.1_1,44.0,0.44,56.0,0.56
PB2015.11036.1_0,44.0,0.44,56.0,0.56
PB2015.11036.1_7,64.0,0.64,36.0,0.36
PB2015.11036.1_6,60.0,0.6,40.0,0.4
PB2015.11036.1_5,54.0,0.54,46.0,0.46
PB2015.11036.1_4,56.0,0.56,44.0,0.44
PB2015.15561.2_39,58.0,0.58,42.0,0.42
PB2015.15561.2_38,60.0,0.6,40.0,0.4
PB2015.15561.2_33,60.0,0.6,40.0,0.4
PB2015.15561.2_32,50.0,0.5,50.0,0.5
PB2015.15561.2_31,52.0,0.52,48.0,0.48
PB2015.15561.2_30,58.0,0.58,42.0,0.42
PB2015.15561.2_37,56.0,0.56,44.0,0.44
PB2015.15561.2_36,56.0,0.56,44.0,0.44
PB2015.15561.2_35,52.0,0.52,48.0,0.48
PB2015.15561.2_34,58.0,0.58,42.0,0.42
PB2015.8365.1_5,62.0,0.62,38.0,0.38
PB2015.8365.1_4,60.0,0.6,40.0,0.4
PB2015.8365.1_1,68.0,0.68,32.0,0.32
PB2015.8365.1_0,68.0,0.68,32.0,0.32
PB2015.8365.1_3,64.0,0.64,36.0,0.36
PB2015.8365.1_2,62.0,0.62,38.0,0.38
PB2015.5471.2_1,62.0,0.62,38.0,0.38
PB2015.5471.2_0,64.0,0.64,36.0,0.36
PB2015.5471.2_2,58.0,0.58,42.0,0.42
PB2015.14672.3_136,52.0,0.52,48.0,0.48
PB2015.14672.3_137,58.0,0.58,42.0,0.42
PB2015.14672.3_134,58.0,0.58,42.0,0.42
PB2015.14672.3_135,52.0,0.52,48.0,0.48
PB2015.14672.3_132,56.0,0.56,44.0,0.44
PB2015.14672.3_133,62.0,0.62,38.0,0.38
PB2015.14672.3_130,58.0,0.58,42.0,0.42
PB2015.14672.3_131,54.0,0.54,46.0,0.46
PB2015.6767.1_1,64.0,0.64,36.0,0.36
PB2015.11135.5_0,52.0,0.52,48.0,0.48
PB2015.11135.5_3,56.0,0.56,44.0,0.44
PB2015.11135.5_2,56.0,0.56,44.0,0.44
PB2015.11135.5_5,56.0,0.56,44.0,0.44
PB2015.6767.1_4,56.0,0.56,44.0,0.44
PB2015.11135.5_7,62.0,0.62,38.0,0.38
PB2015.14672.3_139,64.0,0.64,36.0,0.36
PB2015.8539.7_18,58.0,0.58,42.0,0.42
PB2015.8539.7_19,56.0,0.56,44.0,0.44
PB2015.8539.7_10,54.0,0.54,46.0,0.46
PB2015.8539.7_11,60.0,0.6,40.0,0.4
PB2015.8539.7_12,58.0,0.58,42.0,0.42
PB2015.8539.7_13,58.0,0.58,42.0,0.42
PB2015.8539.7_14,52.0,0.52,48.0,0.48
PB2015.8539.7_15,50.0,0.5,50.0,0.5
PB2015.8539.7_16,48.0,0.48,52.0,0.52
PB2015.8539.7_17,50.0,0.5,50.0,0.5
PB2015.10237.9_8,24.0,0.24,76.0,0.76
